year,China,US,India,Russia,Japan,UK
1948,23836342.0000,2582445156.0000,53277630.0000,326912852.0000,88082370.0000,475563216.0000
1949,59360384.0000,2164746794.0000,56265231.0000,371617326.0000,98420107.0000,485108718.0000
1950,78835287.0000,2541361422.0000,61177440.0000,414228286.0000,102540986.0000,500792103.0000
1951,102115213.0000,2618575989.0000,64099778.0000,448930218.0000,123457651.0000,545252811.0000
1952,127999326.0000,2551082448.0000,67508821.0000,480734749.0000,130405972.0000,528706108.0000
1953,133782883.0000,2612826366.0000,68788976.0000,508590576.0000,145769795.0000,540210740.0000
1954,160877410.0000,2489313565.0000,72499950.0000,555458805.0000,142534085.0000,553009696.0000
1955,190521461.0000,2728348348.0000,78878507.0000,629836084.0000,141875010.0000,576951647.0000
1956,215823984.0000,2859820068.0000,81749186.0000,690553819.0000,160635757.0000,574323549.0000
1957,255784962.0000,2835605945.0000,91739123.0000,755681837.0000,188066748.0000,570714144.0000
1958,524617059.0000,2746936839.0000,95923794.0000,806603261.0000,181160879.0000,556315842.0000
1959,720151557.0000,2831737062.0000,101560548.0000,848034678.0000,192619987.0000,546606132.0000
1960,798799921.0000,2897138041.0000,111450248.0000,882927058.0000,232499641.0000,584020018.0000
1961,570630187.0000,2886696092.0000,120539453.0000,910542450.0000,282786898.0000,588614801.0000
1962,459618074.0000,2993718164.0000,132728645.0000,955666762.0000,292864430.0000,592931499.0000
1963,456779449.0000,3126294023.0000,142601450.0000,1024911159.0000,324835463.0000,603385663.0000
1964,460637094.0000,3264110570.0000,139639166.0000,1090019669.0000,358891094.0000,607865989.0000
1965,500286364.0000,3399341865.0000,153867847.0000,1156311677.0000,386471179.0000,622111621.0000
1966,549459318.0000,3571208560.0000,159540062.0000,1221122990.0000,419245117.0000,618074666.0000
1967,460225895.0000,3705254221.0000,159725507.0000,1276867048.0000,489307430.0000,592057027.0000
1968,495506566.0000,3840702204.0000,174245743.0000,1312749468.0000,561912555.0000,606488304.0000
1969,607683366.0000,4034925667.0000,177589111.0000,1367141080.0000,653215421.0000,628382547.0000
1970,807952627.0000,4339471089.0000,181898660.0000,1437870582.0000,767963110.0000,652577395.0000
1971,909209700.0000,4365246732.0000,192144566.0000,1525873920.0000,796544280.0000,660388217.0000
1972,968645596.0000,4572790619.0000,203227421.0000,1605410945.0000,852170216.0000,648026312.0000
1973,1008292576.0000,4784822811.0000,209291369.0000,1673209228.0000,914265202.0000,659577095.0000
1974,1028099867.0000,4620820271.0000,216060663.0000,1736920950.0000,914306206.0000,617183621.0000
1975,1183214956.0000,4478038483.0000,234438971.0000,1825754949.0000,868510753.0000,603247048.0000
